precinct,zipcode
28th Precinct,10027-5319
26th Precinct,10027-2406
25th Precinct,10035-3921
24th Precinct,10025-5146
23rd Precinct,10029-5721
Central Park Precinct,NY 10024
20th Precinct,10024-5502
19th Precinct,10065
Midtown North Precinct,10019-5102
17th Precinct,10022
Midtown South Precinct,10001-1701
13th Precinct,10010-7460
10th Precinct,10011
9th Precinct,10003
7th Precinct,10002
6th Precinct,10014
123rd Precinct,10307-1227
122nd Precinct,10306-3207
121st Precinct,10314-1503
120th Precinct,10301-1905
115th Precinct,11372-1747
114th Precinct,11103-4425
113th Precinct,11434-2511
112th Precinct,11375-4242
111th Precinct,11361
110th Precinct,11373-2853
109th Precinct,11354-4117
108th Precinct,11101
107th Precinct,11365-4113
106th Precinct,11417-1707
105th Precinct,11428-1474
104th Precinct,11385-5257
102nd Precinct,11418-2527
101st Precinct,11691-4202
103rd Precinct,11432-5229
100th Precinct,11693-1527
94th Precinct,11222-2636
90th Precinct,11211-7417
88th Precinct,11205-4301
84th Precinct,11201-3003
83rd Precinct,11237-5132
81st Precinct,11221-3607
79th Precinct,11216-1220
78th Precinct,11217-2110
77th Precinct,11213-2338
76th Precinct,11231-3003
75th Precinct,11208-3553
73rd Precinct,11212
72nd Precinct,11232-1702
71st Precinct,11225-3217
70th Precinct,11230-1103
69th Precinct,11236-2123
68th Precinct,11220-4927
67th Precinct,NY 11226
66th Precinct,11204-2111
62nd Precinct,11214-4714
63rd Precinct,11210-4240
61st Precinct,11223-5027
60th Precinct,11224-3615
52nd Precinct,10467
50th Precinct,10463-4004
49th Precinct,10461-2251
47th Precinct,10466-4901
46th Precinct,10457-2919
48th Precinct,10457-7401
45th Precinct,10465-1949
44th Precinct,10452-7800
43rd Precinct,10473-4006
42nd Precinct,10451-4604
41st Precinct,10459-5204
40th Precinct,10454-1133
34th Precinct,10033-3729
33rd Precinct,10032-2512
32nd Precinct,10030-2802
30th Precinct,10031
5th Precinct,10013
1st Precinct,10013
